ID,score1,score2,score3,score4
540,0,0,0,1
541,0,0,1,0
542,0,0,0,0
543,0,0,0,0
544,1,0,0,4
545,0,0,0,0
546,1,1,0,0
547,0,0,0,0
548,0,0,0,1
549,0,1,0,0
550,1,0,0,0
551,1,7,6,7
552,0,0,0,0
553,0,0,1,3
554,0,3,0,0
555,0,0,0,-1
556,0,0,0,1
557,0,0,0,2
558,1,0,0,0
559,0,0,0,1
560,0,0,0,2
561,0,0,0,0
562,5,1,0,1
563,0,0,0,0
564,1,0,2,0
565,1,0,0,0
566,0,0,0,0
567,0,1,0,0
568,0,1,0,0
569,1,0,8,7
570,-5,0,-1,-1
571,0,0,0,0
572,0,1,2,0
573,-1,0,0,0
574,1,0,0,0
575,0,0,1,0
576,0,0,0,0
577,0,1,0,0
578,0,0,0,0
579,0,0,0,0
580,1,3,4,3
581,6,6,8,6
582,0,0,0,0
583,0,2,1,0
584,0,0,0,0
585,7,2,0,1
586,0,0,0,0
587,1,1,0,0
588,0,0,0,0
589,1,1,0,0
590,0,1,0,0
591,0,0,0,0
592,0,1,0,0
593,0,0,2,0
594,0,0,0,1
595,0,0,0,0
596,1,1,1,2
597,0,0,0,0
598,0,0,0,0
599,0,6,2,2
600,2,0,0,0
601,1,3,0,0
602,0,0,0,0
603,0,0,0,1
604,0,0,1,0
605,0,0,0,0
606,0,0,0,0
607,0,0,1,0
608,0,7,0,0
609,0,0,0,1
610,0,0,0,3
611,4,0,0,0
612,0,0,0,0
613,0,0,0,0
614,0,0,0,0
615,0,0,0,0
616,0,0,3,0
617,0,1,0,0
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,1
623,0,0,0,0
624,0,0,0,0
625,0,1,0,1
626,1,0,3,3
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,2,1,0
631,0,2,0,0
632,0,0,0,0
633,0,0,0,1
634,0,0,0,0
635,0,0,0,0
636,0,0,0,0
637,1,0,0,0
638,0,0,0,0
639,0,1,0,1
640,0,0,2,0
641,0,0,0,0
642,0,0,0,1
643,1,1,1,2
644,0,0,0,0
645,0,0,0,0
646,0,0,0,2
647,0,0,0,0
648,0,0,0,0
649,1,1,0,1
650,0,0,1,0
651,0,0,2,1
652,0,0,-1,0
653,0,0,0,0
654,1,0,0,0
655,0,0,0,0
656,13,15,5,15
657,0,0,1,0
658,4,0,0,0
659,1,0,0,0
660,0,0,0,0
661,1,2,1,1
662,0,0,0,0
663,0,0,2,0
664,1,0,1,2
665,2,0,0,2
666,0,0,0,0
667,0,0,-1,0
668,0,8,8,8
669,0,0,0,0
670,-3,-3,-3,-2
671,7,4,0,0
672,0,0,0,0
673,3,2,3,3
674,1,1,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,1,2
678,2,3,6,0
679,0,0,0,0
680,0,0,1,0
681,0,1,0,2
682,0,5,1,0
683,0,0,0,1
684,0,1,0,0
685,0,0,0,1
686,1,0,0,0
687,0,0,0,0
688,0,0,0,0
689,0,0,0,3
690,0,0,0,0
691,1,1,3,0
692,1,0,1,9
693,0,0,1,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,3,3,0
699,0,0,0,0
700,4,0,0,0
701,0,3,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,1,0,0
707,1,1,1,1
708,0,0,0,0
709,0,0,0,0
710,1,0,1,1
711,0,0,1,0
712,0,3,3,1
713,0,0,0,2
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,2,0,2,2
718,0,0,0,0
719,0,0,0,1
720,0,0,0,0
721,0,0,1,1
722,0,0,0,0
723,0,0,0,0
724,0,0,0,1
725,0,0,0,0
726,0,0,0,0
727,0,1,0,0
728,2,2,3,3
729,0,0,0,1
730,0,2,0,0
731,0,2,0,1
732,0,0,0,0
733,0,0,0,0
734,0,0,0,2
735,0,6,0,0
736,1,0,0,0
737,2,2,0,0
738,0,0,1,1
739,0,0,0,0
740,1,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,2,0,0,0
745,0,0,0,1
746,0,1,0,0
747,0,0,0,0
748,4,3,1,5
749,0,0,0,0
750,4,1,1,2
751,0,0,3,0
752,2,0,3,3
753,0,2,0,0
754,1,1,0,2
755,0,0,0,1
756,0,0,0,0
757,0,-1,0,-1
758,0,0,0,0
759,0,0,1,1
760,0,0,0,0
761,0,0,1,6
762,0,0,0,0
763,1,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,2
767,0,0,1,0
768,0,0,0,0
769,0,0,0,0
770,0,1,0,1
771,0,1,0,0
772,0,0,1,0
773,0,2,2,2
774,0,0,-1,0
775,0,0,2,0
776,1,0,0,2
777,0,0,0,2
778,0,0,0,0
779,2,1,0,0
780,1,0,0,1
781,0,0,0,0
782,2,0,0,2
783,2,3,2,1
784,0,0,1,2
785,0,0,0,0
786,1,0,0,2
787,3,2,1,0
788,0,0,2,0
789,4,4,6,4
790,0,0,0,2
791,0,0,0,0
792,0,0,0,0
793,1,1,0,0
794,0,0,4,1
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,0,0
799,0,0,0,0
800,0,0,3,0
801,0,0,0,0
802,2,0,6,9
803,0,0,0,0
804,2,1,3,2
805,1,0,0,1
806,0,0,0,1
807,6,0,0,1
808,0,0,0,2
809,2,2,1,0
810,2,1,0,0
811,4,4,0,6
812,0,0,0,0
813,1,0,0,0
814,0,0,0,0
815,0,0,0,0
816,4,5,0,0
817,1,7,0,0
818,0,0,0,0
819,0,0,2,0
820,0,0,2,0
821,1,2,0,0
822,1,2,1,0
823,0,0,4,2
824,3,0,0,0
825,6,7,2,6
826,3,0,2,6
827,0,2,0,3
828,0,0,3,0
829,2,0,0,0
830,4,4,4,3
831,5,0,3,0
832,1,5,1,0
833,0,1,0,0
834,0,0,0,1
835,0,1,0,0
836,1,1,0,0
837,2,0,0,0
838,0,0,0,0
839,2,0,0,0
840,5,0,5,6
841,0,0,0,1
842,0,0,0,2
843,1,2,1,0
844,6,2,3,2
845,0,0,0,-1
846,6,7,6,12
847,2,2,5,0
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,0,0,0,0
852,-1,-1,-1,-1
853,2,0,5,3
854,0,0,0,0
855,1,0,0,0
856,4,3,3,3
857,0,0,0,0
858,0,0,0,0
859,0,0,0,0
860,0,1,1,2
861,0,0,0,0
862,0,0,0,3
863,0,2,0,0
864,0,0,-1,0
865,0,0,0,0
866,0,0,0,0
867,0,0,1,0
868,0,0,0,4
869,2,5,0,2
870,1,0,0,0
871,1,0,0,1
872,0,0,0,0
873,0,0,0,2
874,1,0,2,0
875,0,2,0,0
876,1,0,0,3
877,1,1,0,0
878,3,0,0,3
879,1,0,0,1
880,0,0,0,1
881,0,0,0,0
882,0,2,1,0
883,1,0,0,0
884,0,0,0,0
885,3,0,1,1
886,0,0,4,1
887,0,0,0,0
888,3,0,5,0
889,4,0,0,4
